subject,condition,list,order,prime_verb,prime_type,target,response
35,LVC,2,14,massage,DO,3_T,P
35,LVC,2,10,smile,DO,4_T,P
35,LVC,2,5,tip,DO,5_T,OTHER
35,LVC,2,11,beating,PO,6_T,P
36,LVC,2,11,encouragement,PO,11_T,D
36,LVC,2,4,reply,PO,12_T,D
36,LVC,2,12,answer,DO,13_T,D
36,LVC,2,10,hug,PO,15_T,D
36,LVC,2,7,command,DO,16_T,D
36,LVC,2,5,scolding,PO,19_T,D
36,LVC,2,13,compliment,DO,20_T,D
36,LVC,2,1,beating,PO,21_T,D
36,LVC,2,6,aid,DO,23_T,OTHER
36,LVC,2,3,advice,PO,26_T,OTHER
36,LVC,2,2,bow,PO,3_T,D
36,LVC,2,8,tip,DO,4_T,D
36,LVC,2,9,massage,DO,5_T,D
36,LVC,2,14,smile,DO,6_T,D
37,NLVC,8,3,check,PO,11_T,P
37,NLVC,8,5,ball,DO,12_T,P
37,NLVC,8,8,video tape,PO,13_T,OTHER
37,NLVC,8,13,apple,DO,15_T,D
37,NLVC,8,7,contract,DO,16_T,D
37,NLVC,8,9,toy,PO,19_T,P
37,NLVC,8,4,key,PO,20_T,P
37,NLVC,8,6,music,PO,21_T,D
37,NLVC,8,11,towel,PO,23_T,P
37,NLVC,8,1,number,DO,26_T,P
37,NLVC,8,12,cigarette,DO,3_T,OTHER
37,NLVC,8,10,flower,DO,4_T,OTHER
37,NLVC,8,14,jumper cable,PO,5_T,P
37,NLVC,8,2,bouquet,DO,6_T,P
38,NLVC,7,8,flower,PO,11_T,P
38,NLVC,7,13,video tape,DO,12_T,D
38,NLVC,7,11,check,DO,13_T,D
38,NLVC,7,12,bouquet,PO,15_T,P
38,NLVC,7,7,ball,PO,16_T,D
38,NLVC,7,2,toy,DO,19_T,OTHER
38,NLVC,7,10,jumper cable,DO,20_T,D
38,NLVC,7,14,music,DO,21_T,D
38,NLVC,7,9,cigarette,PO,23_T,D
38,NLVC,7,5,number,PO,26_T,P
38,NLVC,7,4,towel,DO,3_T,OTHER
38,NLVC,7,3,apple,PO,4_T,OTHER
38,NLVC,7,1,contract,PO,5_T,P
38,NLVC,7,6,key,DO,6_T,P
39,IDIOM,8,11,boot,DO,11_T,D
39,IDIOM,8,6,run for his money,DO,12_T,D
39,IDIOM,8,13,brush-off,PO,13_T,D
39,IDIOM,8,7,third degree,DO,15_T,D
39,IDIOM,8,4,once-over,PO,16_T,P
39,IDIOM,8,10,taste of her own medicine,DO,19_T,D
39,IDIOM,8,2,low-down,PO,20_T,D
39,IDIOM,8,14,hand with the landscape,DO,21_T,D
39,IDIOM,8,1,green light,PO,23_T,P
39,IDIOM,8,5,blank check,PO,26_T,D
39,IDIOM,8,12,fair shake,DO,3_T,D
39,IDIOM,8,9,piece of his mind,DO,4_T,D
39,IDIOM,8,8,hand,PO,5_T,D
39,IDIOM,8,3,clean bill of health,PO,6_T,D
40,IDIOM,6,13,third degree,DO,11_T,D
40,IDIOM,6,4,free rein,PO,12_T,D
40,IDIOM,6,1,piece of his mind,DO,13_T,D
40,IDIOM,6,3,run for his money,DO,15_T,P
40,IDIOM,6,8,blank check,PO,16_T,D
40,IDIOM,6,5,whirl,DO,19_T,D
40,IDIOM,6,12,word,PO,20_T,D
40,IDIOM,6,9,shirt off his back,DO,21_T,D
40,IDIOM,6,2,once-over,PO,23_T,P
40,IDIOM,6,6,hand with the landscape,DO,26_T,D
40,IDIOM,6,7,hand,PO,3_T,P
40,IDIOM,6,11,break to,PO,4_T,P
40,IDIOM,6,14,green light,PO,5_T,D
40,IDIOM,6,10,earful,DO,6_T,D
41,LVC,6,7,massage,DO,11_T,D
41,LVC,6,11,compliment,PO,12_T,P
41,LVC,6,6,scolding,PO,13_T,D
41,LVC,6,5,hug,DO,15_T,D
41,LVC,6,2,tip,DO,16_T,D
41,LVC,6,9,beating,PO,19_T,P
41,LVC,6,13,bow,DO,20_T,D
41,LVC,6,14,smile,PO,21_T,P
41,LVC,6,1,command,DO,23_T,P
41,LVC,6,8,advice,PO,26_T,P
41,LVC,6,3,encouragement,DO,3_T,P
41,LVC,6,4,answer,PO,4_T,P
